addressId-street_segId,location
241871-11463,E/B 1600 U ST NW
807858-6734,600 H ST NW
906878-5540,COLUMBIA RD NW @ 14TH ST NW
903377-1954,42ND ST NW @ YUMA ST NW
902541-1802,16TH ST NW @ LAMONT ST NW
905685-2762,7TH & S ST NW
900487-1490,14TH ST NE @ RHODE ISLAND AVE NE
288032-8737,3900 MINNESOTA AVE NE
286707-9851,2200 BLK SOUTH DAKOTA AVE NE SE/B
904834-5498,2ND & MASS AVE NW
814120-3557,SUITLAND PK .3 MILES PRIOR TO FIRTH
810381-6993,DC295 SW .7 MILES S/O EXIT 1 S/B
906275-5435,NY AVE W/B AT 4TH ST NW
804439-3829,RHODE ISLAND W/B @ 1ST NW
801702-3557,SUITLAND PKWY W/B AT STANTON RD SE
805905-5055,PENNSYLVANIA W/B AT MINNESOTA SE
904041-909,CONNECTICUT AVE S/B @ PORTER ST. NW
811993-10289,700 BLK FRANKLIN ST NE W/B
806087-5227,200 BLK. M ST. SE E/B
807208-6179,NEW YORK W/B @ FLORIDA NE
804036-3428,N. CAPITOL NE @ RIGGS RD.
900719-3438,14TH ST. N/B @ K ST. N.W.
288753-14658,600 BLK NEW YORK AVENUE NE W/B
802681-2059,100 BLK FLORIDA AVE NW SE/B
273837-7858,3100 M ST NW
903098-292,BLADENSBURG RD NE @ NEW YORK AVE NE
804602-3969,3800 10TH ST NE
284693-5097,3500 MASSACHUSETTS AVE NW (E/B)
801296-5134,DC295 NE AT BENNING RD EXIT N/B
146162-2623,100 BLK MICHIGAN AVENUE NE E/B
905538-2222,L ST NW @ VERMONT AVE NW
900888-150,MT OLIVET E/B @ W VIRGINIA AVE NE
262656-5831,2700 WISCONSIN AVE N/B NW
910842-3203,SPRING RD NW @ 16TH ST NW
901333-2120,GEORGIA AVE & UPSHUR ST NW
285575-9974,1100 NORTH CAPITAL ST NW
279253-7611,1608 RHODE ISLAND AVE NW
805065-4361,2200 BLOCK K ST NW E/B
808117-14688,DC295 SW .3 MILES S/O EXIT 1 N/B
807819-6705,5200 BLK 14TH STREET NW (S/B)
811468-9838,9TH ST TUNNEL NW S/B
806823-5856,M ST W/B @ WHITEHURST FWY NW
800638-675,1900 BLK BRANCH AVE SE N/B
807774-6667,3500 BLK. PARK PL. NW (SB)
807266-6230,800 BLK EASTERN AVENUE NE (E/B)
808209-7032,5500 BLK EAST CAPITOL ST SE (E/B)
811943-6364,3RD ST TUNNEL NW N/B AT MA AVE EXIT
306-1280,700 BLK RIDGE RD SE SE/B
19499-2370,4600 BLK N H BURROUGHS AVE NE NW/B
809933-8491,S CAPITOL RAMP S/B BEFORE I ST SW
808095-6936,NEW YORK AVE. W/B @ NEW JERSEY NW
900063-4223,MILITARY RD W/B @ 14TH ST NW
810409-8921,RHODE ISLAND W/B @ REED NE
905603-7383,12TH ST N/B AT CONSTITUTION AVE NW
802806-5134,DC295 .4 MI S/O BURROUGHS AV NE S/B
31943-1435,3700 BLK SOUTHERN AVENUE SE (SW/B)
802914-2396,6300 BLK BLAIR ROAD NW S/B
800995-838,5800 BLK NEW HAMPSHIRE AVE NE SW/B
903250-2783,H ST NW @ 7TH ST NW
809315-7971,1200 PEABODY ST NW
807090-6074,4700 BLK MACARTHUR BLVD NW S/B
809253-7925,4900 BENNING RD SE
806850-5878,E/B 400 MISSOURI AVE NW
288849-6661,680 RHODE ISLAND AVE NE
905757-4504,S/B 13TH & MASSACHUSETTS AVE NW
812063-10355,3600 JAY ST NE NE/B
807830-6713,400 BLOCK RIGGS ROAD NE N/B
809494-8122,4500 BLK. RIVER RD. NW (SB)
800001-2,1900 BLK SOUTHERN AVENUE SE (NE/B)
807916-6783,NORTH CAPITOL N/B @ HAREWOOD NE
900244-3929,3RD ST. S/B @ NEW YORK AVE. N.W.
256413-13203,7700 BLK 16TH ST NW N/B
810860-9309,CANAL RD NW .3 M S/O AZ AVE S/B
812484-10729,600 BLK MISSOURI AVE NW SE/B
905632-7413,K ST NE @ 11TH ST NE
232241-1543,3500 GA AVE NW
800701-734,BENNING N/B @ MINNESOTA NE
903866-2131,16TH ST S/B AT COLORADO AVE NW
903573-2331,14TH ST S/B AT U ST NW
900914-172,13TH ST AND GIRARD ST NW
805990-5137,100 MASSCHUSETTS AVE NE
907392-204,6TH ST & H ST NW
900014-6005,K ST E/B @ 27TH ST NW
811511-9879,4200 BLK SOUTH DAKOTA AVE NE N/B
301049-6467,3400 BLK BENNING RD NE W/B
903709-3664,E CAPITOL W/B AT SOUTHERN AVE NE
802651-2028,NEBRASKA NE/B @ FESSENDEN NW
903777-4229,S DAKOTA E/B @ BLADENSBURG RD NE
901839-759,CONSTITUTION AVE W/B @ 15TH ST NW
903451-528,CONNECTICUTT & 18TH ST NW
905468-7257,4TH ST SE @ M ST SE
813624-11730,N/B 3000 16TH ST NW
903716-1578,K ST NW @ 6TH ST NW
810013-8562,BRANCH N/B @ ALABAMA SE
900827-94,7TH & CONSTITUTION AVE NW
801569-1331,2900 BLK ARIZONA AV NW SB
903234-2357,INDEPENDENCE E/B AT 3RD ST SW
905702-3950,N CAPITOL ST S/B @ H ST NW
252834-2452,4800 BLK GEORGIA AVE NW S/B
82882-11013,950 EASTERN AVE NE
904997-29,FLORIDA AVE NE @ 4TH ST NE
290016-9447,S/B 3800 14TH ST NE
300093-1634,410 8TH ST SE
907215-579,19TH ST AT L ST NW
253188-15302,5948 GEORGIA AVE NW
815963-11567,NEW YORK AVE W/B @ MONTANA AVE NE
806860-5886,WISCONSIN N/B @ BRANDYWINE NW
900284-4494,MICH AVE AT 4TH ST NE
905642-14659,9TH ST NE @ MOUNT OLIVET RD NE
811220-9615,500 PA AVE NW
904466-2703,MT PLEASANT ST NW @ LAMONT ST NW
72285-26,1200 H ST NE
911023-6092,BRANCH & GAINESVILLE ST SE
814838-12787,3200 WHEELER RD SE
223666-7197,1200 UPSHUR ST NW
900899-159,18TH ST AT VIRGINIA AVE NW
271410-2763,1600 FOXHALL RD S/B NW
801001-843,1500 CONSTITUTION AVE NW
900200-3529,18TH ST NW @ NEW HAMPSHIRE AVE NW
902958-2455,15TH ST SW @ INDEPENDENCE AVE SW
812152-10429,800 9TH ST NW
814343-12359,N/B 4100 S DAK AVE NE
906078-1041,RHODE ISLAND AVE NW @ BATAAN ST NW
907033-2539,8TH ST NE @ I ST NE
277550-4175,3500 CONNECTICUT AVE NW INSIDE N/B
243367-3894,1300 U ST NW
904122-4361,K ST W/B @ 25TH ST NW
902401-1600,ALABAMA AVE SE @ G ST SE
238718-10022,600 PA AVE NW
240293-4760,1300 FLORIDA AVE NW
239136-1039,1000 FLORIDA AVE NW
806245-5367,1500 23RD ST NW
224798-9593,4200 MASSACHUSETTS AVE NW
904489-1039,11TH ST NW @ FLORIDA AVE NW
149654-7270,4400 E ST SE
151471-2351,2000 MLK JR AVE SE
910900-4927,ILLINOIS AVE NW @ GEORGIA AVE NW
242923-11794,900 U ST NW
294856-1394,4000 MINNESOTA AVE NE
814764-12732,1000 25TH ST NW
905296-6908,H ST NE @ 11TH ST NE
901986-329,N/B OREGON AVE @ TENNYSON ST NW
300368-,2800 BLK NEW YORK AVE. NE E/B
908325-4905,14TH ST N/B @ C ST SW
902787-888,PENNSYLVANIA AVE SE/B @ 27TH ST SE
239834-8606,900 PENNSYLVANIA AVE NW
806674-5725,CONNECTICUT N/B @ MILITARY NW
806803-5837,3300 BLK MINNESOTA AVE SE (NE/B)
906670-3758,13TH PL NE @ BRYANT ST NE
266783-7908,3100 FOXHALL RD S/B NW
218242-4920,500 FLORIDA AVE NW
906206-2701,H ST NE @ 4TH ST NE
239125-12879,900 11TH ST NW
903512-555,I ST NW @ 16TH ST NW
807944-6804,801 RHODE ISLAND AVE NE
900101-1912,SOUTH CAP & I ST SW
901991-951,16TH ST N/B AT OAK ST NW
806650-5703,E CAPITOL E/B AT TEXAS SE
911304-5003,EASTERN AVE NE @ NORTH CAPITOL ST *
901451-1020,S/B 32ND AT JOCELYN ST NW
906197-9248,HAYES ST NE @ DIVISION AVE NE
53547-,1929 NORTH CAPITOL ST NE
800345-292,W/B 3000 NY AVE NE
900353-713,6TH & PENN AVE NW
809370-8009,2500 CT AVE NW
306738-13974,1300 BLK 2ND ST NE
900640-409,MORRIS RD SE @ ELVANS RD SE
906264-9414,BENNING RD NE @ 44TH ST NE
905026-4845,NEW YORK AVE NW @ 6TH ST NW
903848-3212,SARATOGA AVE NE @ 14TH ST NE
904729-2571,SHERIFF RD NE @ 48TH ST NE
907458-4425,TAYLOR ST NE @ 2ND ST NE
903242-2776,NORTH CAROLINA & PA AVE SE
902947-1812,FLORIDA AVE NE @ ORREN ST NE
903632-3547,MADISON ST NW @ GEORGIA AVE NW
903109-2639,MADISON DRIVE AND 14TH ST NW
906941-1303,RHODE ISLAND AVE NE @ 2ND ST NE
907297-1431,14TH ST NW @ SHERIDAN ST NW
813907-11977,5300 SOUTH DAKOTA AVE NE
266055-2734,4900-4800 BLK WISCONSIN AVE NW
294861-13030,700 14 ST SE
801318-1289,4900 NANNIE HELEN BURROUGHS AVE NE*
810762-9221,700 9TH ST NW
