location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
20TH ST NW @ L ST NW,906823,2115,396105.43749834,137321.67186887,38.90373300000001,-77.0449005,MOVING,0,2,2016-01-21,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2600 RI AVE E/B NE,46161,2432,402590.03,140483.64,38.93223600000002,-76.970133,MOVING,0,25,2016-01-07,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3000 M ST E/B NW,273857,12650,394855.97,137468.95,38.90506500000001,-77.0593095,MOVING,0,2,2016-01-03,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
RHODE ISLAND AVE NW @ MARION ST NW,904875,2518,398177.49670026,138307.93705378,38.91259799999999,-77.020974,MOVING,0,3,2016-01-24,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
4300 NANNIE HELEN BURROUGHS AVE NE*,805613,4813,405127.16,137046.3,38.9015129493232,-76.94139891645627,MOVING,0,6,2016-01-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1600 A STREET NE,60526,5857,401558.25,135921.78,38.891142,-76.9820445,MOVING,0,1,2016-01-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
MINNESOTA AVE NE @ BENNING RD NE,905137,734,404410.32873805,136366.25913198,38.89511999999999,-76.949154,MOVING,0,6,2016-01-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1900 7 ST N/B NW,238381,2329,398074.03,138664.12,38.915847000000014,-77.0222115,MOVING,0,3,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
295 PENNSYLVANIA AVE SE,812084,10373,399760.21020573,135503.29093918,38.88761668482586,-77.00292737804403,MOVING,0,6,2016-01-03,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1200 U ST W/B NW,240812,7819,397543.09,138763.87,38.91673800000001,-77.028336,MOVING,0,3,2016-01-13,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
H ST NE @ 9TH ST NE,904453,4763,400541.49999846,136927.7500125,38.900195999999994,-76.9937715,MOVING,0,1,2016-01-03,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
49TH ST NW @ ASHBY ST NW,901057,309,391608.48997417,139157.68003057,38.92023899999999,-77.096772,MOVING,0,2,2016-01-27,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
700 H ST NW,813606,11714,398054.21,136884.96,38.89973675769212,-77.02198461090813,MOVING,0,1,2016-01-29,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
4TH ST NW @ BUTTERNUT ST NW,905439,6673,398437.4100125,145076.37002006,38.973600000000005,-77.01798149999999,MOVING,0,4,2016-01-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1300 PENNSYLVANIA AVE SE,156345,6794,401031.34,134871.08,38.881674000000004,-76.9881195,MOVING,0,1,2016-01-15,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
FLORIDA AVE NE @ 2ND ST NE,911722,13972,399706.36969368,137835.22358134,38.90843099999999,-77.0034735,MOVING,0,5,2016-01-21,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
FLORIDA AVE NE @ 2ND ST NE,911722,13972,399706.36969368,137835.22358134,38.90843099999999,-77.0034735,MOVING,0,5,2016-01-28,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
4000 BLK ALBEMARLE ST NW,299723,9764,393164.44,142208.91,38.94775200000001,-77.0788575,MOVING,0,2,2016-01-06,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2600 CONNECTICUT AVE NW,219095,6427,395489.69,139539.56,38.923722,-77.0520195,MOVING,0,2,2016-01-14,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1800 BLK FLORIDA AVE NW,806427,5523,396309.98,138719.8,38.91667128857791,-77.04174023118917,MOVING,0,3,2016-01-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
