violation_code,violation_desc
T658,FAIL TO EXHIBIT REGISTRATION
T335,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING
T202,RIGHT TURN ON RED; VIOLATION NO TURN ON RED SIGN
T128,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP
T112,DISOBEY TRAFFIC CONTROL DEVICE
T637,NO REAR LIGHTS
T591,DISTRACTED DRIVING USING CELL PHONE; OTHER DEVICE
T115,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL
T120,SPEED 16-20 MPH OVER THE SPEED LIMIT
T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL
T119,SPEED 11-15 MPH OVER THE SPEED LIMIT
T178,OBSTRUCTING TRAFFIC
T183,TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED
T667,DEAD OR EXPIRED TAGS
T185,MAKING A TURN FROM THE WRONG LANE
T404,UNREGISTERED VEHICLE; MORE THAN 30 DAYS
T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE
T039,FAIL TO PULL OVER FOR FIRE APPARATUS
T759,FAIL TO YIELD RIGHT OF WAY TO PEDESTRIAN
T711,OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH
T121,SPEED 21-25 MPH OVER THE SPEED LIMIT
T204,FAIL TO OBEY GREEN ARROW TRAFFIC SIGNAL
T013,FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE
T640,OPERATING HIGH BEAM LIGHTS
T713,SEAT BELT REGULATION VIOLATION
T082,ONE WAY STREET VIOLATION
T122,SPEED 26-30 MPH OVER THE SPEED LIMIT
T059,CHANGE LANES WITHOUT CAUTION
T058,FAIL TO KEEP IN LANE
T363,CDL NOT-OUT-OF-SERVICE VIOLATION
T269,FAIL TO USE SEATBELT IN CMV
T008,COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY
T184,MAKING A U TURN WHERE U TURNS ARE PROHIBITED
T715,SEAT BELT REGULATION MULTIPLE VIOLATIONS
T065,NO LIGHTS RUNNING ON VEHICLE
T080,FAIL TO EXHIBIT DRIVERS LICENSE OR PERMIT
T758,VIOLATION OF TINTED WINDOWS REGULATIONS
T014,FAIL TO SECURE LOAD ON VEHICLE
T639,ONE RUNNING LIGHT
T101,OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION
T125,DRIVE AT UNREASONABLE SPEED
T590,DISTRACTED DRIVING
T654,VIOLATION OF ONE WAY STREET RESTRICTION
T571,IMPROPER TURN
T219,PASS WITHOUT CAUTION
T206,FAIL TO CLEAR INTERSECTION
T018,BACK UP WITHOUT CAUTION
T334,TURN RIGHT ON RED WITHOUT COMPLETE STOP
T181,IMPROPER TURN AT AN INTERSECTION
T200,PASSING A YELLOW TRAFFIC SIGNAL
T142,FAIL TO OBEY HACK INSPECTOR
T151,OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER
T214,FAIL TO YIELD WHEN EMERGING FROM AN ALLEY
T230,IMPROPERLY DRESSED OPERATOR IN VEHICLE FOR HIRE
T129,DRIVING A TRUCK THROUGH A RESTRICTED STREET
T116,TURN RIGHT ON RED WHEN PROHIBITED
